Gmt time,Open,High,Low,Close,Volume
01.01.2020 22:00:00.000,1.04337,1.04357,1.04024,1.04046,2350399902.3438
01.01.2020 23:00:00.000,1.04057,1.04199,1.04057,1.04184,3214770019.5313
02.01.2020 00:00:00.000,1.04184,1.04190,1.04140,1.04158,5809129882.8125
02.01.2020 01:00:00.000,1.04159,1.04248,1.04135,1.04211,7129500000
02.01.2020 02:00:00.000,1.04211,1.04256,1.04208,1.04247,5532060058.5938
02.01.2020 03:00:00.000,1.04247,1.04285,1.04211,1.04211,5068540039.0625
02.01.2020 04:00:00.000,1.04211,1.04249,1.04173,1.04193,4141600097.6563
02.01.2020 05:00:00.000,1.04193,1.04233,1.04131,1.04146,6494589843.75
02.01.2020 06:00:00.000,1.04146,1.04180,1.04120,1.04177,5016029785.1563
02.01.2020 07:00:00.000,1.04177,1.04202,1.04114,1.04143,6276529785.1563
02.01.2020 08:00:00.000,1.04143,1.04234,1.04124,1.04226,7256640136.7188
02.01.2020 09:00:00.000,1.04226,1.04297,1.04142,1.04297,6154839843.75
02.01.2020 10:00:00.000,1.04296,1.04357,1.04273,1.04331,5852220214.8438
02.01.2020 11:00:00.000,1.04331,1.04456,1.04312,1.04419,6699990234.375
02.01.2020 12:00:00.000,1.04420,1.04486,1.04401,1.04433,7949470214.8438
02.01.2020 13:00:00.000,1.04433,1.04470,1.04393,1.04393,9049179687.5
02.01.2020 14:00:00.000,1.04393,1.04434,1.04247,1.04259,11569200195.3125
02.01.2020 15:00:00.000,1.04259,1.04377,1.04236,1.04310,12138459960.9375
02.01.2020 16:00:00.000,1.04312,1.04326,1.04225,1.04322,7763100097.6563
02.01.2020 17:00:00.000,1.04322,1.04434,1.04305,1.04406,6675950195.3125
02.01.2020 18:00:00.000,1.04406,1.04417,1.04365,1.04380,3498929931.6406
02.01.2020 19:00:00.000,1.04379,1.04379,1.04289,1.04298,4041449951.1719
02.01.2020 20:00:00.000,1.04298,1.04357,1.04298,1.04337,3376649902.3438
02.01.2020 21:00:00.000,1.04337,1.04384,1.04318,1.04338,1397349975.5859
02.01.2020 22:00:00.000,1.04251,1.04309,1.04230,1.04246,996049987.793
02.01.2020 23:00:00.000,1.04246,1.04288,1.04209,1.04242,4631330078.125
03.01.2020 00:00:00.000,1.04242,1.04298,1.04221,1.04291,5387189941.4063
03.01.2020 01:00:00.000,1.04291,1.04374,1.04284,1.04339,7586689941.4063
03.01.2020 02:00:00.000,1.04339,1.04362,1.04232,1.04273,10885459960.9375
03.01.2020 03:00:00.000,1.04273,1.04403,1.04262,1.04369,8819650390.625
